Name,Distance,Link,Address,Phone Number
Weinberg Community for Senior Living,5.9,https://www.aplaceformom.com/community/weinberg-community-for-senior-living-89372,"1551 Lake Cook Rd, Deerfield, IL 60015",(847) 374-0500
Summit of Uptown,15.6,https://www.aplaceformom.com/community/summit-of-uptown-89421,"10 N Summit Ave, Park Ridge, IL 60068",(847) 825-1161
The Landings Senior Living,36.0,https://www.aplaceformom.com/community/the-landings-senior-living-1451084,"2450 W Fabyan Pkwy, Batavia, IL 60510",(630) 866-8836
Heritage Woods of McHenry,23.5,https://www.aplaceformom.com/community/heritage-woods-of-mc-henry-146771,"4609 West Crystal Lake Road, McHenry, IL 60050",(815) 344-2690
Meadowmere & Mitchell Manor Oak Creek,45.0,https://www.aplaceformom.com/community/meadowmere-mitchell-manor-oak-creek-97641,"701 East Puetz Road, Oak Creek, WI 53154",(414) 766-2100
Bright Oaks of Aurora,38.5,https://www.aplaceformom.com/community/bright-oaks-of-aurora-1381112,"1340 River St, Aurora, IL 60506",(630) 892-8800 x1002
Evergreen Senior Living - Orland Park,47.0,https://www.aplaceformom.com/community/evergreen-senior-living-orland-park-1389625,"10820 183rd St, Orland Park, IL 60467",(708) 479-1082
The Highlands Assisted Living at Moorings of Arlington Heights,13.5,https://www.aplaceformom.com/community/the-highlands-assisted-living-at-moorings-of-arlington-heights-95594,"1071 Moorings Dr, Arlington Heights, IL 60005",(847) 956-4040
The Wellshire Morton Grove,14.3,https://www.aplaceformom.com/community/the-wellshire-morton-grove-1343818,"8415 North Waukegan Road, Morton Grove, IL 60053",(847) 470-4550
Bethesda Rehab & Senior Care,21.2,https://www.aplaceformom.com/community/bethesda-rehab-senior-care-89729,"2833 N Nordica Ave, Chicago, IL 60634",(773) 622-6144
"Friendship Village of Schaumburg, a CCRC",18.9,https://www.aplaceformom.com/community/friendship-village-of-schaumburg-a-ccrc-89524,"350 W Schaumburg Rd, Schaumburg, IL 60194",(847) 490-6271
Bickford of Tinley Park,45.8,https://www.aplaceformom.com/community/bickford-of-tinley-park-1390995,"17301 80th Ave, Tinley Park, IL 60477",(708) 845-5490
Anthology of Grayslake,10.5,https://www.aplaceformom.com/community/anthology-of-grayslake-1397160,"1865 E Belvidere Rd, Grayslake, IL 60030",(224) 338-6957
Prairie Pointe Assisted Living and Memory Care,45.0,https://www.aplaceformom.com/community/prairie-pointe-assisted-living-and-memory-care-1451902,"58 W Park Ave, Sugar Grove, IL 60554",(331) 227-4500
Bickford of Crystal Lake,25.1,https://www.aplaceformom.com/community/bickford-of-crystal-lake-148033,"717 McHenry Ave., Crystal Lake, IL 60014",(815) 477-4200
Villa St. Benedict a CCRC,33.7,https://www.aplaceformom.com/community/villa-st-benedict-a-ccrc-68683,"1920 Maple Avenue, Lisle, IL 60532",(630) 852-0345
Bethany Retirement Community,20.5,https://www.aplaceformom.com/community/bethany-retirement-community-89738,"4950 North Ashland Avenue, Chicago, IL 60640",(773) 989-1501
Pleasant Point,33.6,https://www.aplaceformom.com/community/pleasant-point-67512,"8600 Corporate Drive, Racine, WI 53406",(262) 833-0810
Victory Centre of Sierra Ridge,45.9,https://www.aplaceformom.com/community/victory-centre-of-sierra-ridge-138990,"4150 W. Gatling Blvd., Country Club Hills, IL 60478",(708) 957-8300
Victory Centre of Bartlett,25.0,https://www.aplaceformom.com/community/victory-centre-of-bartlett-140029,"1101 West Bartlett Road, Bartlett, IL 60103",(630) 213-0100
The Reserve at Oswego,43.9,https://www.aplaceformom.com/community/the-reserve-at-oswego-1354531,"900 Douglas Road, Oswego, IL 60543",(331) 454-7540
Sunrise of Lincoln Park,23.6,https://www.aplaceformom.com/community/sunrise-of-lincoln-park-68700,"2710 Clark Street, Chicago, IL 60614",(773) 244-0005
Encore at Bolingbrook,39.6,https://www.aplaceformom.com/community/encore-at-bolingbrook-1366636,"351 Lily Cache Ln, Bolingbrook, IL 60440",(630) 759-0797
Churchview Supportive Living,32.7,https://www.aplaceformom.com/community/churchview-supportive-living-100584,"2626 W. 63rd Street, Chicago, IL 60629",(773) 471-4444
Cedarhurst of Kenosha,21.8,https://www.aplaceformom.com/community/cedarhurst-of-kenosha-97642,"8351 Sheridan Rd, Kenosha, WI 53143",(262) 948-1100
Westbridge Assisted Living & Memory Care,30.0,https://www.aplaceformom.com/community/westbridge-assisted-living-memory-care-68608,"500 Wyndemere Circle, Wheaton, IL 60187",(630) 681-1343
Pine Brook Pointe,36.4,https://www.aplaceformom.com/community/pine-brook-pointe-87670,"1001 Pine St, Burlington, WI 53105",(262) 767-1516
Jennings Terrace,41.4,https://www.aplaceformom.com/community/jennings-terrace-89622,"275 S. La Salle St., Aurora, IL 60505",(630) 897-6947
"Plymouth Place, a CCRC",28.8,https://www.aplaceformom.com/community/plymouth-place-a-ccrc-89649,"315 N La Grange Rd, La Grange Park, IL 60526",(708) 482-6511
The Victory at Village Lakes,16.0,https://www.aplaceformom.com/community/the-victory-at-village-lakes-89399,"1065 Victory Dr, Lindenhurst, IL 60046",(847) 356-4666
Ascension Living Lakeshore at Siena,38.6,https://www.aplaceformom.com/community/ascension-living-lakeshore-at-siena-1394868,"5643 Erie St, Racine, WI 53402",(262) 898-3188
Paul House and Healthcare Center,21.3,https://www.aplaceformom.com/community/paul-house-and-healthcare-center-89698,"3800 North California Ave, Chicago, IL 60618",(773) 478-4222
Victory Centre of Galewood,21.9,https://www.aplaceformom.com/community/victory-centre-of-galewood-154403,"2370 North Newcastle Avenue, Chicago, IL 60707",(773) 385-5002
Oak Hill Supportive Living,15.5,https://www.aplaceformom.com/community/oak-hill-supportive-living-1357592,"76 East Rollins Road, Round Lake Beach, IL 60073",(847) 201-1100
New City Supportive Living,31.1,https://www.aplaceformom.com/community/new-city-supportive-living-1386026,"4707 S Marshfield Ave, Chicago, IL 60609",(773) 376-1223
Heritage Woods of Gurnee,9.4,https://www.aplaceformom.com/community/heritage-woods-of-gurnee-1354388,"3775  Grand Ave, Gurnee, IL 60031",(847) 623-6300
Montclare Supportive Living,27.0,https://www.aplaceformom.com/community/montclare-supportive-living-1405960,"4339 W 18th Place, Chicago, IL 60623",(773) 277-0288
Moraine Court,34.2,https://www.aplaceformom.com/community/moraine-court-89599,"8080 S Harlem Ave, Bridgeview, IL 60455",(708) 594-2700
Deer Path of Huntley (For Ages 22-64),30.8,https://www.aplaceformom.com/community/deer-path-of-huntley-for-ages-22-64-1338612,"12500 Regency Parkway, Huntley, IL 60142",(847) 515-1800
The Gardens of Waterford,40.8,https://www.aplaceformom.com/community/the-gardens-of-waterford-68747,"1955 Randi Drive, Aurora, IL 60504",(630) 851-1880
The Wellshire,4.7,https://www.aplaceformom.com/community/the-wellshire-141574,"170 Jamestown Lane, Lincolnshire, IL 60069",(224) 543-7070
The Heathers - Ringwood,27.2,https://www.aplaceformom.com/community/the-heathers-ringwood-1391707,"6809 Barnard Mill Rd, Ringwood, IL 60072",(224) 858-7212
Greenfields of Geneva a CCRC,37.2,https://www.aplaceformom.com/community/greenfields-of-geneva-a-ccrc-1349416,"0N801 Friendship Way, Geneva, IL 60134",(630) 578-6500
The Clare,26.1,https://www.aplaceformom.com/community/the-clare-100806,"55 East Pearson St, Chicago, IL 60611",(312) 784-8015
White Oaks Memory Care of McHenry,23.4,https://www.aplaceformom.com/community/white-oaks-memory-care-of-mc-henry-1405164,"4605 W Crystal Lake Rd, McHenry, IL 60050",(815) 344-2970
American House Oak Park (Opening Summer 2022),23.7,https://www.aplaceformom.com/community/american-house-oak-park-opening-summer-2022-1451713,"711 Madison St, Oak Park, IL 60302",(708) 622-9223
Kenosha Senior Living,25.7,https://www.aplaceformom.com/community/kenosha-senior-living-87299,"3109 30th Ave, Kenosha, WI 53144",(262) 656-1795
The Garlands of Barrington a CCRC,15.3,https://www.aplaceformom.com/community/the-garlands-of-barrington-a-ccrc-98022,"1000 Garlands Lane, Barrington, IL 60010",(847) 756-3000
Cedarhurst of Naperville/Woodridge,35.6,https://www.aplaceformom.com/community/cedarhurst-of-naperville-woodridge-1409117,"3333 75th St, Woodridge, IL 60517",(630) 313-4992
The Auberge at Naperville,35.8,https://www.aplaceformom.com/community/the-auberge-at-naperville-1366411,"1936 Brookdale Road, Naperville, IL 60563",(630) 778-9221
Artis Senior Living of  Wilmette,12.7,https://www.aplaceformom.com/community/artis-senior-living-of-wilmette-1444948,"335 Ridge Road, Wilmette, IL 60091",(847) 920-5942
Lake Barrington Woods,18.2,https://www.aplaceformom.com/community/lake-barrington-woods-94885,"22320 Classic Ct, Lake Barrington, IL 60010",(847) 842-8900
The Radcliff,20.2,https://www.aplaceformom.com/community/the-radcliff-1413595,"276 E Irving Park Rd, Wood Dale, IL 60191",(630) 242-2988
White Oaks at Heritage Woods of South Elgin,28.9,https://www.aplaceformom.com/community/white-oaks-at-heritage-woods-of-south-elgin-1405965,"700 N McLean Blvd, South Elgin, IL 60177",(847) 531-8360
Museum Residences on Oak,15.6,https://www.aplaceformom.com/community/museum-residences-on-oak-68615,"1555 Oak Ave, Evanston, IL 60201",(312) 350-2383
Aspired Living of La Grange,28.9,https://www.aplaceformom.com/community/aspired-living-of-la-grange-1420503,"35 Shawmut Ave, La Grange, IL 60525",(708) 206-9899
Brighton Gardens of St. Charles,31.2,https://www.aplaceformom.com/community/brighton-gardens-of-st-charles-89505,"600 Dunham Road, Saint Charles, IL 60174",(630) 587-6120
Lutheran Home,11.0,https://www.aplaceformom.com/community/lutheran-home-89776,"800 W Oakton St, Arlington Heights, IL 60004",(847) 368-7400
Sunrise of Park Ridge,13.5,https://www.aplaceformom.com/community/sunrise-of-park-ridge-89422,"1725 West Ballard Road, Park Ridge, IL 60068",(847) 824-1724
Generations Oakton Arms,15.1,https://www.aplaceformom.com/community/generations-oakton-arms-68540,"1665 Oakton Place, Des Plaines, IL 60018",(847) 827-4200
Norwood Crossing,17.2,https://www.aplaceformom.com/community/norwood-crossing-99266,"6016 N. Nina Avenue, Chicago, IL 60631",(773) 631-4856
Autumn Green at Midway Village,32.8,https://www.aplaceformom.com/community/autumn-green-at-midway-village-99865,"6700 S Keating Ave, Chicago, IL 60629",(773) 582-2888
Jackson Park Supportive Living,35.7,https://www.aplaceformom.com/community/jackson-park-supportive-living-141079,"1448 E 75th St, Chicago, IL 60619",(773) 667-6500
Ravenswood Supportive Living,20.5,https://www.aplaceformom.com/community/ravenswood-supportive-living-1451178,"1922 W Sunnyside Ave, Chicago, IL 60640",(773) 754-8922
The Selfhelp Home,20.8,https://www.aplaceformom.com/community/the-selfhelp-home-89746,"908 W. Argyle Street, Chicago, IL 60640",(773) 271-0300
Franciscan Court,28.8,https://www.aplaceformom.com/community/franciscan-court-139315,"1996 Franciscan Way, West Chicago, IL 60185",(630) 562-4242
Sunrise of Palos Park,40.2,https://www.aplaceformom.com/community/sunrise-of-palos-park-95101,"12828 South LaGrange Road, Palos Park, IL 60464",(708) 361-3577
StoryPoint Romeoville,46.3,https://www.aplaceformom.com/community/story-point-romeoville-153178,"605 Edward Dr, Romeoville, IL 60446",(815) 439-9955
The Sheridan at Green Oaks,6.3,https://www.aplaceformom.com/community/the-sheridan-at-green-oaks-1389330,"29330 N Waukegan Rd, Lake Bluff, IL 60044",(224) 412-8003
Charter Senior Living Poplar Creek,19.6,https://www.aplaceformom.com/community/charter-senior-living-poplar-creek-89522,"2150 W Golf Rd, Hoffman Estates, IL 60169",(847) 755-0735
Clarendale Six Corners (AL and IL Opening Fall 2022 and MC Opening Late 2022),20.4,https://www.aplaceformom.com/community/clarendale-six-corners-al-and-il-opening-fall-2022-and-mc-opening-late-2022-1450049,"4715 W Irving Park Rd, Chicago, IL 60641",(872) 250-1300
Sunrise of Bloomingdale,22.6,https://www.aplaceformom.com/community/sunrise-of-bloomingdale-68581,"129 East Lake Street, Bloomingdale, IL 60108",(630) 295-8600
Autumn Leaves of St. Charles,34.3,https://www.aplaceformom.com/community/autumn-leaves-of-st-charles-1354532,"10 N Peck St, Saint Charles, IL 60175",(888) 662-8886
Heritage Woods of Bolingbrook,37.6,https://www.aplaceformom.com/community/heritage-woods-of-bolingbrook-151586,"550 Kildeer Drive, Bolingbrook, IL 60440",(630) 783-9640
The Woods of Caledonia,38.7,https://www.aplaceformom.com/community/the-woods-of-caledonia-87875,"5737 Erie St, Racine, WI 53402",(262) 639-6015
Oak Creek Place,45.4,https://www.aplaceformom.com/community/oak-creek-place-87323,"3829 South Chicago Ave, South Milwaukee, WI 53172",(414) 762-3838
HarborChase of Long Grove,8.4,https://www.aplaceformom.com/community/harbor-chase-of-long-grove-1406554,"1190 Old McHenry Rd, Long Grove, IL 60047",(847) 613-4838
Lacey Creek Supportive Living,31.0,https://www.aplaceformom.com/community/lacey-creek-supportive-living-1387927,"4200 Lacey Rd, Downers Grove, IL 60515",(630) 964-7720
Prairie Green at Fay's Point,41.5,https://www.aplaceformom.com/community/prairie-green-at-fays-point-1375387,"1546 Water Street, Blue Island, IL 60406",(708) 489-1503
Charter Senior Living of Orland Park,43.0,https://www.aplaceformom.com/community/charter-senior-living-of-orland-park-151795,"8021 151st Street, Orland Park, IL 60462",(708) 403-2400
HarborChase of Plainfield,44.5,https://www.aplaceformom.com/community/harbor-chase-of-plainfield-1330201,"12446 South Van Dyke Road, Plainfield, IL 60585",(815) 267-3510
Heritage Woods of Chicago,25.5,https://www.aplaceformom.com/community/heritage-woods-of-chicago-101426,"2800 West Fulton, Chicago, IL 60612",(773) 722-2900
Alden of Huntley,30.7,https://www.aplaceformom.com/community/alden-of-huntley-1409106,"12140A Regency Pkwy, Huntley, IL 60142",(847) 515-1505
Coles Supportive Living,36.2,https://www.aplaceformom.com/community/coles-supportive-living-138332,"7419 S Exchange, Chicago, IL 60649",(773) 721-6600
Asbury Gardens,39.1,https://www.aplaceformom.com/community/asbury-gardens-89657,"210 Airport Road, North Aurora, IL 60542",(630) 896-7778
The Courts of Waterford,40.8,https://www.aplaceformom.com/community/the-courts-of-waterford-99627,"1991 Randi Drive, Aurora, IL 60504",(630) 851-1466
American House Cedarlake,47.2,https://www.aplaceformom.com/community/american-house-cedarlake-142810,"14800 Van Dyke Road, Plainfield, IL 60544",(815) 254-3564
Heritage of Muskego,47.4,https://www.aplaceformom.com/community/heritage-of-muskego-1420161,"S64 W13780 Janesville Road, Muskego, WI 53150",(414) 425-7155
St. Joseph Village of Chicago,21.5,https://www.aplaceformom.com/community/st-joseph-village-of-chicago-90194,"4021 W Belmont, Chicago, IL 60641",(773) 328-5525
Robin Way,23.1,https://www.aplaceformom.com/community/robin-way-67421,"7377 88th Avenue, Kenosha, WI 53142",(262) 697-7778
Brookdale Lake View,23.3,https://www.aplaceformom.com/community/brookdale-lake-view-89786,"3121 North Sheridan Road, Chicago, IL 60657",(773) 404-9800
Shepherd of Crystal Lake,23.5,https://www.aplaceformom.com/community/shepherd-of-crystal-lake-1437451,"5430 Hillside Rd, Crystal Lake, IL 60012",(224) 328-1774
Heritage Woods of South Elgin,28.9,https://www.aplaceformom.com/community/heritage-woods-of-south-elgin-152083,"700 North Mclean Boulevard, South Elgin, IL 60177",(847) 531-8360
Hearthstone Communities,31.0,https://www.aplaceformom.com/community/hearthstone-communities-68572,"840 N Seminary Avenue, Woodstock, IL 60098",(815) 334-6200
Brenwood Park Assisted Living,46.3,https://www.aplaceformom.com/community/brenwood-park-assisted-living-97595,"9535 W Loomis Ave, Franklin, WI 53132",(414) 448-0800
Ascension Living Resurrection Village,17.2,https://www.aplaceformom.com/community/ascension-living-resurrection-village-89726,"7262 W Peterson Ave, Chicago, IL 60631",(773) 792-7930
Victory Centre of Roseland,38.7,https://www.aplaceformom.com/community/victory-centre-of-roseland-139642,"10450 S. Michigan Ave, Chicago, IL 60628",(773) 468-6400
Cornerstone of Oak Creek,45.0,https://www.aplaceformom.com/community/cornerstone-of-oak-creek-87316,"155 W Sunnyview Dr, Oak Creek, WI 53154",(414) 570-9755
Cudahy Place Senior Living,49.8,https://www.aplaceformom.com/community/cudahy-place-senior-living-1369033,"3460 East Barnard Avenue, Cudahy, WI 53110",(414) 509-7228
Shepherd of Bull Valley,22.4,https://www.aplaceformom.com/community/shepherd-of-bull-valley-1437450,"1001 Cherry Valley Rd, Bull Valley, IL 60050",(847) 450-9786
Alexian Village of Elk Grove,18.5,https://www.aplaceformom.com/community/alexian-village-of-elk-grove-101427,"975 Martha Street, Elk Grove Village, IL 60007",(847) 437-8070
Prospect Heights Community Living Center,34.4,https://www.aplaceformom.com/community/prospect-heights-community-living-center-1353876,"2015 Prospect Street, Racine, WI 53404",(262) 898-1029
Victory Centre of River Oaks,46.7,https://www.aplaceformom.com/community/victory-centre-of-river-oaks-101425,"1370 Ring Road, Calumet City, IL 60409",(708) 730-0994
700 On Sheridan (Now Open),2.6,https://www.aplaceformom.com/community/700-on-sheridan-now-open-1451603,"700 Sheridan Rd, Highwood, IL 60040",(847) 433-5566
Azpira Place Lake Zurich,12.9,https://www.aplaceformom.com/community/azpira-place-lake-zurich-1395932,"795 Rand Rd, Lake Zurich, IL 60047",(847) 438-6100
Marian Village,44.2,https://www.aplaceformom.com/community/marian-village-96360,"15624 Marian Drive, Homer Glen, IL 60491",(708) 226-3780
Royal Estates Assistive Living,45.2,https://www.aplaceformom.com/community/royal-estates-assistive-living-89973,"1515 E 154th Street, Dolton, IL 60419",(708) 841-5560
Arbor View,35.6,https://www.aplaceformom.com/community/arbor-view-67394,"34201 Arbor Ln, Burlington, WI 53105",(262) 539-2728
Parkview Gardens,38.3,https://www.aplaceformom.com/community/parkview-gardens-154060,"5321 Douglas Avenue, Racine, WI 53402",(262) 898-4000
The Highlands Assisted Living at Westminster Place,14.3,https://www.aplaceformom.com/community/the-highlands-assisted-living-at-westminster-place-95596,"3131 Simpson St, Evanston, IL 60201",(847) 866-1615
Maywood Supportive Living (Opening Summer 2022),24.4,https://www.aplaceformom.com/community/maywood-supportive-living-opening-summer-2022-68597,"316 Randolph St, Maywood, IL 60153",(641) 903-2232
Harbor House - Memory Care,8.0,https://www.aplaceformom.com/community/harbor-house-memory-care-89441,"760 McHenry Rd, Wheeling, IL 60090",(847) 465-1100
Bishop Edwin Conway Residence,23.1,https://www.aplaceformom.com/community/bishop-edwin-conway-residence-68730,"1900 N Karlov Ave, Chicago, IL 60639",(773) 252-8578
Shepherd Premier Living Crystal Lake II (Opening Fall 2022),23.5,https://www.aplaceformom.com/community/shepherd-premier-living-crystal-lake-ii-opening-fall-2022-1441320,"7716 Crystal Springs Rd, Crystal Lake, IL 60012",(224) 333-6247
Cedarhurst of Woodstock (Opening Summer 2022),31.2,https://www.aplaceformom.com/community/cedarhurst-of-woodstock-opening-summer-2022-1452146,"10511 US-14, Woodstock, IL 60098",(815) 396-8783
Inspiration Ministries,43.9,https://www.aplaceformom.com/community/inspiration-ministries-1354022,"N2270 Hwy 67, Walworth, WI 53184",(262) 275-6131
Tudor Oaks Senior Living Community,47.8,https://www.aplaceformom.com/community/tudor-oaks-senior-living-community-87308,"S77 W12929 McShane Dr, Muskego, WI 53150",(414) 529-0100
Rolling Hills Place a CCRC community,15.8,https://www.aplaceformom.com/community/rolling-hills-place-a-ccrc-community-89450,"3521 16th St, Zion, IL 60099",(847) 379-8174
Dayton Care Center,23.9,https://www.aplaceformom.com/community/dayton-care-center-87285,"521 59th St, Kenosha, WI 53140",(262) 657-6121
Rosewood Manor,47.3,https://www.aplaceformom.com/community/rosewood-manor-98090,"2220 Borg Road, Delavan, WI 53115",(262) 728-7673
Vines Senior Home,25.0,https://www.aplaceformom.com/community/vines-senior-home-89468,"971 Bode Rd, Elgin, IL 60120",(847) 695-9600
Archwood Senior Living,26.6,https://www.aplaceformom.com/community/archwood-senior-living-1443160,"25025 75th St, Salem, WI 53168",(262) 234-0015
Saratoga Grove,29.8,https://www.aplaceformom.com/community/saratoga-grove-89636,"3460 Saratoga Ave, Downers Grove, IL 60515",(630) 971-1995
Sage Meadow Lake Geneva,38.5,https://www.aplaceformom.com/community/sage-meadow-lake-geneva-98184,"6722 Highway 50 E, Lake Geneva, WI 53147",(262) 248-2029
Sage Meadow Racine,30.7,https://www.aplaceformom.com/community/sage-meadow-racine-142679,"6109 Braun Rd, Racine, WI 53403",(262) 554-6765
The Reserve at Arlington Heights,14.4,https://www.aplaceformom.com/community/the-reserve-at-arlington-heights-1381368,"1625 S. Arlington Heights Rd, Arlington Heights, IL 60005",(847) 725-6700
Randall Residence of McHenry,22.0,https://www.aplaceformom.com/community/randall-residence-of-mc-henry-139492,"3300 Charles J. Miller Road, McHenry, IL 60050",(815) 385-9840
Victorian Village,42.3,https://www.aplaceformom.com/community/victorian-village-97390,"12600 Renaissance Circ, Homer Glen, IL 60491",(708) 301-0800
Magnolia Hill - Mount Pleasant,31.3,https://www.aplaceformom.com/community/magnolia-hill-mount-pleasant-1412158,"3820 Old Green Bay Rd, Mount Pleasant, WI 53403",(262) 226-2893 x401
Library Terrace Assisted Living,22.4,https://www.aplaceformom.com/community/library-terrace-assisted-living-139055,"7905 36th Avenue, Kenosha, WI 53142",(262) 697-8560
Franciscan Villa,45.6,https://www.aplaceformom.com/community/franciscan-villa-87324,"3601 S Chicago Ave, South Milwaukee, WI 53172",(414) 570-5474
Wickshire Wilmette,12.9,https://www.aplaceformom.com/community/wickshire-wilmette-89443,"615 Ridge Road, Wilmette, IL 60091",(847) 256-1600
Tender Reflections of Elkhorn,46.8,https://www.aplaceformom.com/community/tender-reflections-of-elkhorn-1394392,"1550 N Country Club Pkwy, Elkhorn, WI 53121",(262) 723-1344
Central Baptist Village,18.8,https://www.aplaceformom.com/community/central-baptist-village-68764,"4747 North Canfield Avenue, Norridge, IL 60706",(708) 583-8500
Shepherd of Gurnee,9.1,https://www.aplaceformom.com/community/shepherd-of-gurnee-1440502,"5631 Manchester Dr, Gurnee, IL 60031",(224) 333-6247
The Birches Assisted Living,31.6,https://www.aplaceformom.com/community/the-birches-assisted-living-89632,"215 55th Street, Clarendon Hills, IL 60514",(630) 789-1135
Creek Side Terrace,44.9,https://www.aplaceformom.com/community/creek-side-terrace-1351782,"8861 South 13th Street, Oak Creek, WI 53154",(414) 764-1970
Waterford Senior Living,40.5,https://www.aplaceformom.com/community/waterford-senior-living-141822,"301 S. 6th St., Waterford, WI 53185",(262) 534-4800
The Vistas Fox Valley,38.2,https://www.aplaceformom.com/community/the-vistas-fox-valley-101308,"1599 N. Farnsworth, Aurora, IL 60505",(630) 898-9400
Ridgestone Village,48.5,https://www.aplaceformom.com/community/ridgestone-village-87257,"1025 South 2nd Street, Delavan, WI 53115",(262) 728-2960
The Auberge at Orchard Park,14.6,https://www.aplaceformom.com/community/the-auberge-at-orchard-park-1336978,"5520 Lincoln Avenue, Morton Grove, IL 60053",(847) 583-9800
Church Creek,14.0,https://www.aplaceformom.com/community/church-creek-89778,"1250 West Central Road, Arlington Heights, IL 60005",(847) 506-3200
Forest Ridge Senior Community,49.1,https://www.aplaceformom.com/community/forest-ridge-senior-community-87275,"11077 West Forest Home Avenue, Hales Corners, WI 53130",(414) 425-1148
Clifden Court West,48.0,https://www.aplaceformom.com/community/clifden-court-west-142973,"6771 S 68th Street, Franklin, WI 53132",(414) 858-0717
Clifden Court East,48.0,https://www.aplaceformom.com/community/clifden-court-east-87280,"6751 S 68th St, Franklin, WI 53132",(414) 858-0717
Heritage Woods of Batavia,34.8,https://www.aplaceformom.com/community/heritage-woods-of-batavia-100586,"1079 E. Wilson Street, Batavia, IL 60510",(630) 406-9440
Killarney Kourt,31.9,https://www.aplaceformom.com/community/killarney-kourt-101382,"8800 Shannon Lane, Sturtevant, WI 53177",(262) 321-0802
King Bruwaert House,31.9,https://www.aplaceformom.com/community/king-bruwaert-house-68677,"6101 County Line Road, Burr Ridge, IL 60527",(630) 323-2250
Creek Side Manor,44.9,https://www.aplaceformom.com/community/creek-side-manor-155881,"8841 S 13th St, Oak Creek, WI 53154",(414) 764-1970
Citadel Estates-Hazel Crest,47.7,https://www.aplaceformom.com/community/citadel-estates-hazel-crest-95469,"3701 West 183rd Street, Hazel Crest, IL 60429",(708) 799-7099
Covenant Home of Chicago,19.7,https://www.aplaceformom.com/community/covenant-home-of-chicago-68716,"2720 W Foster Ave, Chicago, IL 60625",(877) 582-9811
Casa del Mare Memory Care,25.5,https://www.aplaceformom.com/community/casa-del-mare-memory-care-1356922,"3508 7th Avenue, Kenosha, WI 53140",(262) 653-1234
Rosewood Cottage,44.3,https://www.aplaceformom.com/community/rosewood-cottage-1436461,"7711 Big Bend Rd, Waterford, WI 53185",(920) 360-2809
Maplewood Cottage,44.3,https://www.aplaceformom.com/community/maplewood-cottage-159702,"7711 Big Bend Rd, Waterford, WI 53185",(262) 895-2332
Willowgreen Assisted Living,39.7,https://www.aplaceformom.com/community/willowgreen-assisted-living-87873,"4719 Kingdom Court, Racine, WI 53108",(262) 681-7201
Birchrock Castle,48.9,https://www.aplaceformom.com/community/birchrock-castle-138473,"210 McDivitt Ln, Mukwonago, WI 53149",(626) 363-9295
Smith Village a CCRC,39.0,https://www.aplaceformom.com/community/smith-village-a-ccrc-152159,"2320 W. 113th Place, Chicago, IL 60643",(773) 474-7303
Peace Village a CCRC,40.3,https://www.aplaceformom.com/community/peace-village-a-ccrc-89608,"10300 Village Circle Drive, Palos Park, IL 60464",(708) 361-3683
Matthews of Oak Creek,46.6,https://www.aplaceformom.com/community/matthews-of-oak-creek-67438,"7550 S. 13th St., Oak Creek, WI 53154",(414) 768-8889
The Wealshire,4.7,https://www.aplaceformom.com/community/the-wealshire-68561,"170 Jamestown Ln, Lincolnshire, IL 60069-2119",(847) 883-9000
Ponds of Wealshire Inc,4.8,https://www.aplaceformom.com/community/ponds-of-wealshire-inc-68560,"150 Jamestown Ln, Lincolnshire, IL 60069-2119",(847) 793-1800
Three Crowns Park,14.2,https://www.aplaceformom.com/community/three-crowns-park-68617,"2323 McDainel, Evanston, IL 60201",(847) 328-8700
Prairieview At The Garlands,15.3,https://www.aplaceformom.com/community/prairieview-at-the-garlands-1449283,"6000 Garlands Lane, Barrington, IL 60010",(847) 852-3400
Danish Home of Chicago,17.7,https://www.aplaceformom.com/community/danish-home-of-chicago-68725,"5656 N Newcastle Ave, Chicago, IL 60631",(773) 775-7383
Friedman Place for the Blind and Visually Imp,19.4,https://www.aplaceformom.com/community/friedman-place-for-the-blind-and-visually-imp-102233,"5527 N Maplewood, Chicago, IL 60625",(773) 989-9800
Eden Supportive Living,21.8,https://www.aplaceformom.com/community/eden-supportive-living-142260,"940 West Gordon Terrace, Chicago, IL 60613",(773) 472-1020
Greenview Place,22.6,https://www.aplaceformom.com/community/greenview-place-1383241,"1501 W Melrose St, Chicago, IL 60657",(773) 525-1505
Symphony Residences of Lincoln Park,23.5,https://www.aplaceformom.com/community/symphony-residences-of-lincoln-park-89688,"2437 N. Southport, Chicago, IL 60614",(773) 248-9300
Lexington Square,26.5,https://www.aplaceformom.com/community/lexington-square-68589,"400 W Butterfield Rd, Elmhurst, IL 60126-4903",(630) 832-5959
Tower Hill Healthcare Center,28.8,https://www.aplaceformom.com/community/tower-hill-healthcare-center-89509,"759 Kane St, South Elgin, IL 60177",(847) 697-3310
Pioneer Gardens,30.9,https://www.aplaceformom.com/community/pioneer-gardens-139857,"3800 South Martin Luther King Drive, Chicago, IL 60653",(773) 420-4100
Timber Oaks,33.1,https://www.aplaceformom.com/community/timber-oaks-67443,"1390 8th Ave, Union Grove, WI 53182",(262) 878-4899
Harmony Commons of Racine,33.6,https://www.aplaceformom.com/community/harmony-commons-of-racine-97658,"8500 Corporate Dr., Racine, WI 53406",(262) 833-0810
Primrose Retirement Racine,34.8,https://www.aplaceformom.com/community/primrose-retirement-racine-1369018,"1775 N. Newman Road Mt Pleasant Village, Racine, WI 53406",(262) 886-3333
